tweet_id,created_at,date,hour,weekday,airline,tweet_text_raw,text_clean,retweet_count,sentiment,sentiment_score,sentiment_negative,sentiment_neutral,sentiment_positive
567595670463205376,2015-02-17 08:05:27+00:00,2015-02-17,8,Tuesday,United,@united I like delays less than you because I'm the one on the plane. Connect me with a voucher,USER like delay less one plane connect voucher,0,Neutral,-0.27086248993873596,0.411014586687088,0.4488333463668823,0.14015209674835205
567663504102940672,2015-02-17 12:35:00+00:00,2015-02-17,12,Tuesday,Southwest,@SouthwestAir We have been stuck in SJU for several hours and no one is answering here. Really tough to LUV SW. No response is bad.,USER stuck sju several hour one answering really tough luv response bad,0,Negative,-0.9431568719446659,0.9477174282073975,0.04772200807929039,0.004560556262731552
567703258425081857,2015-02-17 15:12:58+00:00,2015-02-17,15,Tuesday,United,.@united call my work and tell them it's your fault I'm Late Flight,USER call work tell fault late flight,0,Negative,-0.9060383313335478,0.9107474684715271,0.08454348891973495,0.004709137137979269
567710245053407232,2015-02-17 15:40:44+00:00,2015-02-17,15,Tuesday,US Airways,@USAirways I have been on hold with your Gold reservations line for OVER 3 HOURS now. Flight Cancelled Flightled. Trying to rebook.,USER hold gold reservation line NUMBER hour flight cancelled flightled trying rebook,0,Negative,-0.8830786319449544,0.8887692093849182,0.10554027557373047,0.005690577439963818
567721764285726720,2015-02-17 16:26:31+00:00,2015-02-17,16,Tuesday,Southwest,@SouthwestAir Can you link the article where it says the routes and what times the routes are likely to be? Like TUL-DAL 1:00PM - 7 None,USER link article say route time route likely like NUMBER NUMBER none,0,Neutral,-0.0023614689707756042,0.02177181839942932,0.9588178396224976,0.019410349428653717
567722294680641538,2015-02-17 16:28:37+00:00,2015-02-17,16,Tuesday,Southwest,@SouthwestAir Hi-My flight (BNA to LGA) was Cancelled Flighted this morning--#1814. Looks like other flights out of BNA are taking off. Any chance?,USER flight bna lga cancelled flighted morning NUMBER look like flight bna taking chance,0,Negative,-0.7193670310080051,0.7260938286781311,0.26717936992645264,0.006726797670125961
567722937545814018,2015-02-17 16:31:10+00:00,2015-02-17,16,Tuesday,Southwest,@SouthwestAir finally!,USER finally,0,Positive,0.8901437446475029,0.0047541335225105286,0.10034801810979843,0.8948978781700134
567728357555437568,2015-02-17 16:52:42+00:00,2015-02-17,16,Tuesday,Delta,"@JetBlue no, I am fine to fly! Haha, they come at random, with the hemophilia, but what if i need extra assistance",USER fine fly haha come random hemophilia need extra assistance,0,Positive,0.48061637952923775,0.04560042545199394,0.4281827509403229,0.5262168049812317
567729135733465088,2015-02-17 16:55:48+00:00,2015-02-17,16,Tuesday,US Airways,@USAirways thank you for blowing my vacation. Couldn't get me anywhere today to make my reservation and also lost 2 bags of mine!,USER thank blowing vacation could get anywhere today make reservation also lost NUMBER bag mine,0,Negative,-0.9327842211350799,0.9394695162773132,0.05384513735771179,0.006685295142233372
567730472076464129,2015-02-17 17:01:07+00:00,2015-02-17,17,Tuesday,United,@united Gold Star for united- change my flight- miss all connections- but can't accommodate me until a MUCH Late Flightr arrival time-Not HAPPY!,USER gold star change miss ca accommodate much late flightr arrival happy,0,Negative,-0.9221724914386868,0.928141713142395,0.06588911265134811,0.005969221703708172
567730952260943873,2015-02-17 17:03:01+00:00,2015-02-17,17,Tuesday,United,@united actually we did not consider she might have made a mistake. She did not complain beyond that she indicated it on her reservation.,USER actually consider might made mistake complain beyond indicated reservation,0,Neutral,-0.3248162046074867,0.3530856966972351,0.6186448931694031,0.028269492089748383
567731738924032000,2015-02-17 17:06:09+00:00,2015-02-17,17,Tuesday,United,@united No but u cld explain how such a disorganized and inefficient company w surly and obviously unhappy employees stays in business.,USER u cld explain disorganized inefficient company w surly obviously unhappy employee stay business,0,Negative,-0.8600206351839006,0.8658828139305115,0.12825502455234528,0.00586217874661088
567733847132229632,2015-02-17 17:14:31+00:00,2015-02-17,17,Tuesday,Delta,"@JetBlue Ok great thanks! I had a great flight, FYI. I'm excited to fly again. I just was frustrated I was not able to check in.",USER ok great thanks great flight fyi excited fly frustrated able check,0,Positive,0.9511699276044965,0.009465555660426617,0.02989894337952137,0.9606354832649231
567734499669454848,2015-02-17 17:17:07+00:00,2015-02-17,17,Tuesday,US Airways,@USAirways hundreds of people in line and less than half the desks being manned at CLT. Help?,USER hundred people line less half desk manned clt help,0,Negative,-0.6907486859709024,0.7090162038803101,0.27271634340286255,0.018267517909407616
567734795849834497,2015-02-17 17:18:17+00:00,2015-02-17,17,Tuesday,United,@united Step 1: Cancelled Flight flight. Step 2: Don't notify customer. Step 3: Charge them for food while they try to survive their wait. Brilliant.,USER step NUMBER cancelled flight flight step NUMBER notify customer step NUMBER charge food try survive wait brilliant,0,Negative,-0.7030954770743847,0.7339043617248535,0.23528680205345154,0.030808884650468826
567735239456194560,2015-02-17 17:20:03+00:00,2015-02-17,17,Tuesday,Delta,"@JetBlue unfortunately no, but hoping I can catch one sometime in the near future!",USER unfortunately hoping catch one sometime near future,0,Neutral,-0.12408995628356934,0.3261933922767639,0.4717031717300415,0.20210343599319458
567735489688395776,2015-02-17 17:21:03+00:00,2015-02-17,17,Tuesday,Southwest,@SouthwestAir Great job with the Passbook integration! It’ll really help streamline the commute to San Fran! 😊☕📲✈,USER great job passbook integration really help streamline commute san fran,0,Positive,0.9877364623825997,0.0017092835623770952,0.008844981901347637,0.9894457459449768
567737554087059457,2015-02-17 17:29:15+00:00,2015-02-17,17,Tuesday,Southwest,"@SouthwestAir I noticed the rates increased a few days ago, or the promotion ended. Any idea when another promotion will be coming?? Thanks!",USER noticed rate increased day ago promotion ended idea another promotion coming thanks,0,Neutral,0.2286850418895483,0.015023091807961464,0.7412687540054321,0.24370813369750977
567737617031380992,2015-02-17 17:29:30+00:00,2015-02-17,17,Tuesday,Southwest,"@SouthwestAir its all good. flight eventually took off, and landed safely. oh, and I got the free cup o wine. thx",USER good flight eventually took landed safely oh got free cup wine thx,0,Positive,0.9239342985674739,0.006140333600342274,0.06378509849309921,0.9300746321678162
567740235061014528,2015-02-17 17:39:54+00:00,2015-02-17,17,Tuesday,Southwest,@SouthwestAir @gruber Finally.,USER USER finally,0,Positive,0.6125749391503632,0.006931539159268141,0.3735619783401489,0.6195064783096313
567741692854276096,2015-02-17 17:45:42+00:00,2015-02-17,17,Tuesday,United,@united Brandi Zabsonre in Denver deserves a raise for bringing delight into a terrible travel situation. big ups http://t.co/TK3aOpdtSQ,USER brandi zabsonre denver deserves raise bringing delight terrible travel situation big ups URL,0,Positive,0.8581851217895746,0.021499862894415855,0.0988151952624321,0.8796849846839905
567742148603170816,2015-02-17 17:47:31+00:00,2015-02-17,17,Tuesday,Virgin America,@VirginAmerica morning. If I have a question regarding elevate points &amp; flights can I DM you?,USER morning question regarding elevate point amp flight dm,0,Neutral,0.05977081507444382,0.02035265415906906,0.8995238542556763,0.08012346923351288
567742937325260801,2015-02-17 17:50:39+00:00,2015-02-17,17,Tuesday,Virgin America,@VirginAmerica Are there any sign up bonuses to enroll in Elevate?,USER sign bonus enroll elevate,0,Neutral,0.0470709390938282,0.007987208664417267,0.9369546175003052,0.05505814775824547
567744571124482048,2015-02-17 17:57:08+00:00,2015-02-17,17,Tuesday,United,@united Is there a way to get a copy of Feb's edition of Hemisphere magazine with out flying?,USER way get copy feb edition hemisphere magazine flying,0,Neutral,0.02678810991346836,0.015827959403395653,0.941555917263031,0.042616069316864014
567744627143213056,2015-02-17 17:57:21+00:00,2015-02-17,17,Tuesday,Southwest,@SouthwestAir Thanks a ton!,USER thanks ton,0,Positive,0.9669683845713735,0.005981418304145336,0.021068712696433067,0.9729498028755188
567744948934426625,2015-02-17 17:58:38+00:00,2015-02-17,17,Tuesday,Southwest,@SouthwestAir Trying to add my dog on the flight but can't get through.,USER trying add dog flight ca get,0,Negative,-0.584343520924449,0.5986914038658142,0.3869606852531433,0.014347882941365242
567747041976410112,2015-02-17 18:06:57+00:00,2015-02-17,18,Tuesday,United,@united when is my plane coming? Been delayed for almost 7 hours. No plane.,USER plane coming delayed almost NUMBER hour plane,0,Negative,-0.8839768236503005,0.8911483287811279,0.10168023407459259,0.007171505130827427
567747668512735232,2015-02-17 18:09:27+00:00,2015-02-17,18,Tuesday,Delta,@JetBlue as much i have paid in fees. Plus hotel and food because of your changes i could had flown with a more reliable airline #no2jetblue,USER much paid fee plus hotel food change could flown reliable airline,0,Negative,-0.8559506246820092,0.8663699626922607,0.12321073561906815,0.010419338010251522
567748407070953472,2015-02-17 18:12:23+00:00,2015-02-17,18,Tuesday,Southwest,@SouthwestAir or you could send me a DM.,USER could send dm,0,Neutral,0.04591475985944271,0.027905138209462166,0.8982749581336975,0.07381989806890488
567748973428219904,2015-02-17 18:14:38+00:00,2015-02-17,18,Tuesday,United,@united 1591 had wi-fi broken on plane. Had same outage on 1618 on Friday. How can Southwest get it right on every plane but United can't?,USER NUMBER broken plane outage NUMBER friday southwest get right every plane united ca,0,Negative,-0.8669575583189726,0.8735901117324829,0.1197773665189743,0.006632553413510323
567752478309875714,2015-02-17 18:28:33+00:00,2015-02-17,18,Tuesday,Southwest,"@SouthwestAir the person I talked to couldn't do anything not normally available online other than the ""no charge"" part.",USER person talked could anything normally available online charge part,0,Negative,-0.6977088153362274,0.7090709209442139,0.27956700325012207,0.01136210560798645
567753757702647810,2015-02-17 18:33:38+00:00,2015-02-17,18,Tuesday,Virgin America,@VirginAmerica really wish you'd fly out of #Fargo @fargoairport those fares are amazings,USER really wish fly fargo USER fare amazings,0,Positive,0.7072864808142185,0.054925914853811264,0.18286168575286865,0.7622123956680298
